-10	0.048370956	-0.003439818	0.058081582	0.059542498					HbO2 AUC	HbRAUC	HbO2AMP	HbRAMP		Normalized				
-8.68	-0.001333056	-0.046283734	0.058028213	0.059487786				-1.2	-0.038551234	0.017005167	0.0584302	0.059899885		-1.2	0.044012544	-0.061538349	-0.000108105	-0.000110824
-8.64	-0.003106353	-0.045919299	0.05802948	0.059489085				-1.16	-0.04171544	0.021911849	0.058440837	0.05991079		-1.16	0.040848338	-0.056631667	-9.74675E-05	-9.9919E-05
-8.6	-0.005406819	-0.045150359	0.05803074	0.059490378				-1.12	-0.044252422	0.026894105	0.058440941	0.059910896		-1.12	0.038311356	-0.051649412	-9.73639E-05	-9.98129E-05
-8.56	-0.007684555	-0.044290532	0.058031128	0.059490775				-1.08	-0.047660337	0.031827851	0.058448894	0.05991905		-1.08	0.034903441	-0.046715665	-8.941E-05	-9.1659E-05
-8.52	-0.011450647	-0.043456345	0.058023319	0.059482769				-1.04	-0.05030177	0.036569213	0.058448842	0.059918996		-1.04	0.032262008	-0.041974303	-8.94621E-05	-9.17123E-05
-8.48	-0.013393415	-0.0425076	0.058024484	0.059483964				-1	-0.0539648	0.041195772	0.058460379	0.059930823		-1	0.028598978	-0.037347745	-7.79252E-05	-7.98853E-05
-8.44	-0.016823528	-0.041606546	0.058019487	0.059478841				-0.96	-0.056674038	0.045534662	0.058460334	0.059930777		-0.96	0.02588974	-0.033008854	-7.79702E-05	-7.99313E-05
-8.4	-0.018468459	-0.040688665	0.058020677	0.059480061				-0.92	-0.05956975	0.04958829	0.058460254	0.059930695		-0.92	0.022994028	-0.028955226	-7.80503E-05	-8.00135E-05
-8.36	-0.020548395	-0.03977293	0.058020985	0.059480377				-0.88	-0.062312873	0.053368029	0.058460258	0.059930699		-0.88	0.020250905	-0.025175488	-7.80467E-05	-8.00097E-05
-8.32	-0.022622458	-0.038870005	0.05802191	0.059481325				-0.84	-0.065155084	0.056824435	0.058460118	0.059930555		-0.84	0.017408694	-0.021719081	-7.81866E-05	-8.01532E-05
-8.28	-0.024355129	-0.037999995	0.058022677	0.059482112				-0.8	-0.068686743	0.060032913	0.058471016	0.059941727		-0.8	0.013877035	-0.018510603	-6.72889E-05	-6.89814E-05
-8.24	-0.027687607	-0.037133728	0.058015265	0.059474514				-0.76	-0.072283628	0.062909649	0.058480859	0.059951818		-0.76	0.01028015	-0.015633867	-5.74457E-05	-5.88906E-05
-8.2	-0.029425348	-0.036204391	0.058016319	0.059475593				-0.72	-0.074911195	0.065428918	0.058480697	0.059951652		-0.72	0.007652583	-0.013114598	-5.76078E-05	-5.90568E-05
-8.16	-0.030986819	-0.03519686	0.058017702	0.059477011				-0.68	-0.076788447	0.067410641	0.058480946	0.059951907		-0.68	0.005775331	-0.011132875	-5.7359E-05	-5.88017E-05
-8.12	-0.034531732	-0.034204706	0.058006383	0.059465408				-0.64	-0.080040773	0.069330908	0.058493522	0.0599648		-0.64	0.002523005	-0.009212608	-4.47824E-05	-4.59088E-05
-8.08	-0.036443441	-0.033037114	0.05800659	0.05946562				-0.6	-0.081695483	0.070702072	0.05849365	0.059964931		-0.6	0.000868295	-0.007841445	-4.46541E-05	-4.57773E-05
-8.04	-0.039788863	-0.031808	0.057998194	0.059457012				-0.56	-0.083207897	0.071987313	0.058493769	0.059965053		-0.56	-0.000644119	-0.006556204	-4.45351E-05	-4.56553E-05
-8	-0.041290143	-0.030453513	0.057999763	0.059458621				-0.52	-0.084663953	0.07298349	0.058493498	0.059964776		-0.52	-0.002100175	-0.005560027	-4.48061E-05	-4.59331E-05
-7.96	-0.043207128	-0.028978009	0.058000063	0.059458929				-0.48	-0.085256439	0.073601715	0.058493788	0.059965072		-0.48	-0.002692661	-0.004941801	-4.45167E-05	-4.56364E-05
-7.92	-0.044740657	-0.027339681	0.058001203	0.059460097				-0.44	-0.086736259	0.074093426	0.058505968	0.059977558		-0.44	-0.004172481	-0.00445009	-3.23368E-05	-3.31501E-05
-7.88	-0.046454446	-0.025606268	0.058001519	0.059460422				-0.4	-0.087244383	0.07461689	0.058505976	0.059977567		-0.4	-0.004680605	-0.003926627	-3.23284E-05	-3.31416E-05
-7.84	-0.048273684	-0.023726545	0.058002338	0.059461261				-0.36	-0.087285419	0.075059046	0.058505921	0.05997751		-0.36	-0.004721641	-0.003484471	-3.23839E-05	-3.31985E-05
-7.8	-0.050336452	-0.021730612	0.058003266	0.059462213				-0.32	-0.08722982	0.075424691	0.058505951	0.059977541		-0.32	-0.004666042	-0.003118825	-3.2354E-05	-3.31678E-05
-7.76	-0.052269269	-0.019602064	0.058003762	0.059462721				-0.28	-0.087494465	0.075627866	0.058515508	0.059987339		-0.28	-0.004930687	-0.00291565	-2.27963E-05	-2.33697E-05
-7.72	-0.053898774	-0.01736221	0.058003983	0.059462948				-0.24	-0.08691112	0.075972897	0.05851553	0.059987361		-0.24	-0.004347342	-0.002570619	-2.27749E-05	-2.33477E-05
-7.68	-0.055739426	-0.01501392	0.058004391	0.059463366				-0.2	-0.087008709	0.076421411	0.058527847	0.059999988		-0.2	-0.004444931	-0.002122105	-1.04572E-05	-1.07202E-05
